result,total_moves,opening,winner,white_skill,black_skill,first_three_moves,white_castled,black_castled,white_sacrifices,black_sacrifices,overall_imbalance,eval_after_move_10,eval_after_move_20
0-1,86,Bird's Opening,black,12,12,f2f4 d7d5 g1f3 g8f6 b2b4 e7e6 a2a3 a7a5 b4a5 c7c5 a3a4 c5c4 e2e3 f8c5 f1e2 c8d7 b1c3 a8a5 f3e5 b8c6 e1g1 e8g8 c1a3 c5a3 a1a3 d8e7 a3a1 f8d8 d1e1 d8a8 e5d7 e7d7 e2f3 c6b4 e1b1 b4c6 b1b6 h7h6 a1b1 d5d4 b6b7 d7b7 b1b7 d4c3 f3c6 c3d2 b7c7 a8d8 g1f2 d2d1b f1d1 d8d1 c6b5 a5a8 a4a5 d1d5 a5a6 d5b5 a6a7 b5b4 f2g1 b4a4 c7b7 a8a7 b7a7 a4a7 f4f5 g8h7 h2h3 h6h5 c2c3 a7a8 e3e4 e6f5 e4f5 h5h4 g1h1 a8a7 h1h2 f6d7 g2g4 f7f6 h2g2 d7e5 g2f1 a7a3 g4g5 a3a1 f1e2 f6g5 f5f6 a1a8 e2e3 g7f6 e3d4 e5c6 d4d5 c6d8 d5d6 a8a3 d6d7 d8b7 d7e6 a3a7 e6f5 h7h6 f5g4 f6f5 g4f3 b7a5 f3g2 a7a6 g2f2 f5f4 f2e2 f4f3 e2e3 f3f2 e3f2 a5b7 f2e2 b7d6 e2d1 d6b5 d1d2 b5a7 d2e3 a7c6 e3f3 c6d8 f3e3 h6h5 e3e2 a6a8 e2f2 d8e6 f2e3 e6f8 e3f2 f8d7 f2e2 d7f6 e2f2 f6h7 f2f3 h7f6 f3g2 g5g4 g2h2 a8a2 h2g1 a2a1 g1f2 a1b1 f2e3 b1b8 h3g4 f6g4 e3d2 b8b5 d2d1 h4h3 d1c2 h3h2 c2d2 h2h1q d2c2 b5b3 c2d2 b3b2,True,True,12,18,1.5235294117647058,-0.69,-0.69
0-1,66,Queen's Gambit,black,12,12,d2d4 d7d5 c2c4 c7c5 c4d5 d8d5 g1f3 c5d4 b1c3 d5d7 d1d4 d7d4 f3d4 g8f6 d4b5 e8d8 c1e3 b8c6 e1c1 c8d7 g2g4 f6g4 f1h3 g4f6 h3d7 f6d7 c1b1 a7a6 b5d4 c6e5 f2f4 e5c4 e3d2 g7g6 d2e1 d8e8 b2b3 c4b6 e1f2 f8h6 f4f5 a8c8 d1d3 h6f4 d4f3 g6f5 f3h4 f4e5 h1c1 e7e6 h4f3 e5g7 a2a4 d7c5 d3d1 b6d7 c3a2 e8e7 f2e1 c5b3 e1b4 e7d8 f3g5 b3c1 g5f7 d8c7 d1c1 c7b8 c1g1 h8g8 e2e3 b8a8 a4a5 d7f6 b4c3 f6g4 c3g7 c8c7 g7c3 c7f7 e3e4 g4f6 g1g3 g8g3 e4e5 f6d5 h2g3 f5f4 a2b4 f4f3 b4d5 f3f2 b1c2 f2f1n d5f4 f1g3 f4e6 h7h5 e6c7 f7c7 c2b3 g3e2 e5e6 c7c3 b3a2 c3c8 e6e7 c8e8 a2a3 h5h4 a3b3 e2f4 b3a4 h4h3 a4b4 h3h2 b4c5 h2h1q c5b4 h1e4 b4c3 e4e7 c3b3 e7e2 b3a4 e8e4 a4b3 e4e3 b3a4 e2b5,True,False,14,28,1.8,0.94,1.49
1-0,47,Queen's Pawn Opening,white,12,12,d2d4 e7e6 e2e4 d7d5 e4d5 e6d5 g1f3 c8e6 a2a4 c7c6 f1d3 f8d6 d1e2 h7h6 f3e5 d6e5 d4e5 g8e7 f2f4 a7a5 e1g1 e6f5 a1a3 b8d7 c1e3 b7b6 d3f5 e7f5 e3f2 h6h5 e2d3 g7g6 d3c3 a8c8 f1e1 d8e7 e5e6 e8g8 e6d7 e7d7 b1d2 f8e8 a3a1 c6c5 e1e5 e8e5 f4e5 c8e8 b2b3 g8g7 e5e6 d5d4 e6d7 e8e3 c3c4 f5d6 c4f1 e3e8 d7e8b d6e8 h2h3 g7g8 d2c4 e8f6 c4b6 f6e4 a1e1 e4d2 f1e2 h5h4 e2d2 g8g7 d2e2 g7g8 e2f1 g6g5 f1e2 f7f5 e2e8 g8g7 e8d7 g7h6 d7e6 h6h7 e6e7 h7g6 e7e6 g6h7 e6d7 h7h6 e1e6 h6h5 d7h7,True,True,8,8,1.7956989247311828,0.32,1.12
0-1,68,English Opening,black,12,12,c2c4 g7g6 b1c3 f8g7 d2d4 c7c5 d4d5 d7d6 c1d2 f7f5 g1h3 g8f6 g2g3 a7a6 h3f4 b7b5 h2h4 e8g8 h4h5 b5b4 c3a4 g6g5 f4h3 h7h6 h3g5 h6g5 d2g5 b8d7 h5h6 g7h8 g5f4 d8e8 e2e3 a6a5 a4b6 d7b6 h1g1 g8h7 d1f3 a5a4 f1d3 f6e4 a1d1 h8b2 g3g4 b2c3 e1e2 h7h8 g4f5 c8f5 g1g7 b6d5 d3e4 f5e4 f3e4 d5f4 e2f1 f4g6 g7g6 e8f7 f2f3 f7f3 e4f3 f8f3 f1e2 f3h3 h6h7 h3h2 e2d3 c3f6 d1f1 a8f8 g6g4 a4a3 f1f4 h2h3 g4g6 h8h7 f4g4 b4b3 a2b3 a3a2 g4g1 a2a1b b3b4 c5b4 c4c5 d6c5 g1g4 b4b3 d3e4 b3b2 g4g1 b2b1q g1b1 h7g6 e4f4 a1e5 f4e4 g6f7 b1f1 e5c3 f1f3 h3h2 e4d5 c3e1 d5c4 e1c3 f3f5 h2c2 c4d3 c2h2 f5f3 c5c4 d3c4 f8c8 c4b5 h2d2 f3f6 c3f6 b5b4 c8c1 b4a3 c1f1 a3b3 f1b1 b3a3 b1a1 a3b4 a1c1 b4a3 d2b2 a3a4 c1a1,False,True,14,14,1.5746268656716418,0.87,-0.23
1-0,49,Reti Opening,white,12,12,g1f3 b7b6 e2e4 c8b7 b1c3 c7c5 h2h3 b8c6 d2d4 e7e6 d4d5 e6d5 e4d5 c6a5 c3b5 d7d6 b2b4 c5b4 c2c3 b4c3 b5c3 f8e7 d1a4 e8f8 f1e2 g8f6 c1b2 a8c8 a1d1 a7a6 a4f4 f8e8 e1g1 b6b5 f3d2 h7h6 f1e1 e8f8 b2a1 f8e8 a2a4 a5c4 a4b5 a6b5 c3b5 f6d5 f4g4 c4e3 g4g7 e3g2 d2e4 g2e3 f2e3 h8f8 e2g4 c8c4 b5d4 d5b4 e4f2 e7f6 g7h7 d8c7 d4f5 f8h8 f5g7 f6g7 h7g7 h8f8 e3e4 b4c2 e1e2 b7c8 g1h1 c4c5 a1b2 c8a6 e2d2 c2e3 d1a1 a6b7 d2e2 e3c2 a1d1 b7a6 e2d2 c2e3 d1e1 c7a5 g7d4 c5c2 g4d7 e8d8 d4d6 c2b2 d7g4 d8e8 d6d7,True,False,26,6,3.082474226804124,1.76,1.07
1-0,67,Reti Opening,white,12,12,g1f3 d7d6 d2d4 g8f6 c2c4 b8d7 b1c3 e7e5 e2e4 f8e7 h2h3 e5d4 d1d4 c7c5 d4d2 e8g8 d2c2 b7b5 c3b5 f8e8 f1d3 d7b8 c1f4 b8c6 e1g1 f6h5 f4h2 c6b4 c2d2 c8b7 f1e1 e7f8 b5c3 g7g6 a1d1 a8b8 d3f1 b4c6 b2b3 e8e6 c3b5 a7a6 b5d6 b7a8 e4e5 f8e7 d6e4 c6b4 d2d8 b8d8 f3d2 b4c2 g2g4 f7f5 e5f6 h5f6 e4f6 g8g7 e1e6 c2d4 f6d5 g7f8 e6a6 f8g8 g1h1 d8e8 a6a7 a8c6 a2a4 e7d8 h2d6 d8b6 a7e7 e8e7 d6e7 g8f7 e7d6 c6d5 c4d5 d4e2 f1e2 h7h5 d2e4 b6a7 e2c4 f7e8 e4g5 e8d7 c4b5 d7d6 b3b4 c5b4 g4h5 a7e3 f2f4 g6h5 g5e4 d6c7 b5f1 b4b3 f1d3 b3b2 d1f1 e3a7 f4f5 a7e3 h3h4 c7c8 d3b1 e3b6 e4g5 c8b8 g5e4 b8c8 f5f6 b6c5 e4c5 c8c7 f6f7 c7b6 f7f8q b6a5 f8d8 a5b4 d8b6 b4c3 c5e4 c3c4 b6c5 c4b3 f1f3 b3a4 f3a3,True,True,16,2,1.849624060150376,0.86,1.95
1-0,46,Bird's Opening,white,12,12,f2f4 d7d5 g1f3 c7c5 e2e3 b8c6 h2h3 a7a6 a2a4 g7g6 d2d3 g8f6 g2g4 h7h5 g4g5 f6d7 f1g2 f8g7 e3e4 d5e4 d3e4 e8g8 e1g1 d7b8 d1e2 c6d4 f3d4 c5d4 f4f5 b8d7 a4a5 d7e5 e2e1 c8d7 b1a3 b7b5 a5b6 a8c8 b6b7 c8b8 f5g6 e5g6 e4e5 d8c7 c1f4 d7c6 e5e6 g6f4 f1f4 c6g2 e6f7 f8f7 f4f7 g2d5 f7e7 c7c6 e7g7 g8g7 e1e5 g7f7 e5b8 f7g6 a1e1 d4d3 b8e5 d3d2 b7b8q d2e1q e5e1 d5e6 g1h2 h5h4 e1f1 e6d5 b8f4 g6h5 f1d3 c6d7 d3e3 d5c6 g5g6 h5g6 f4h6 g6f7 e3f4 d7f5 f4f5 f7e7 h6f6 e7e8 f6f8,True,True,12,6,1.2637362637362637,-0.57,0.43
1-0,52,"English, Symmetrical Variation",white,12,12,c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 d7d6 d2d3 g8f6 c1d2 b8c6 d1c1 h7h6 a1b1 a7a6 a2a3 c8d7 b2b3 b7b5 g1f3 b5c4 b3c4 h6h5 d2g5 a8b8 e1g1 b8b1 c1b1 f6h7 g5d2 e8g8 b1b7 g6g5 c3d5 g5g4 f3h4 e7e6 d5b6 c6d4 b6d7 a6a5 f1b1 d4e2 g1f1 e2d4 d2e3 f8e8 g2c6 e8e7 e3d4 e7d7 b7d7 d8d7 c6d7 h7f8 d4g7 g8g7 d7c6 f8h7 f1g1 h7g5 g1h1 g7h6 c6b5 f7f5 h1g2 g5f3 h4f3 g4f3 g2g1 h5h4 g3g4 f5f4 b5c6 e6e5 g1h1 h6g7 c6f3 g7f6 f3e4 f6g5 h2h3 g5h6 a3a4 f4f3 e4d5 h6g7 d5f3 d6d5 c4d5 g7h7 d5d6 h7h8 f3e4 h8g8 d6d7 g8f7 d7d8q c5c4 b1b7 f7e6 e4f5,True,True,12,4,0.941747572815534,0.33,0.31
1-0,47,Alekhine's Defense,white,12,12,e2e4 g8f6 e4e5 f6d5 c2c4 d5b6 d2d4 d7d6 b1c3 d6e5 d4e5 d8d1 c3d1 b8c6 c1f4 c8d7 d1e3 b6a4 b2b3 a4c5 g1f3 h7h6 e3d5 e8d8 b3b4 c5a4 d5c7 c6b4 e5e6 f7e6 c7a8 g7g5 f4e5 g5g4 f3d4 h8g8 a8c7 g4g3 h2g3 d8c8 c7e6 a4b2 e6f4 g8g5 d4f3 e7e6 a1c1 g5e5 f3e5 b4a2 c1c2 c8c7 c4c5 f8c5 e5d7 h6h5 d7c5 c7b6 c2b2 b6c5 h1h5 e6e5 h5e5 c5d6 e5e6 d6c7 f1c4 a2c1 b2c2 a7a6 c4e2 c7d8 e6d6 d8e7 d6e6 e7d8 c2c1 b7b5 e6a6 d8d7 e2g4 d7d8 c1c8 d8e7 f4g6 e7f7 g6h4 f7e7 c8c7 e7d8 c7g7 d8e8 a6a8,False,False,20,8,1.4301075268817205,-0.89,-0.77
0-1,65,Reti Opening,black,12,12,g1f3 f7f5 d2d4 g8f6 g2g3 g7g6 c2c4 f8g7 b1c3 e8g8 c1e3 a7a5 h2h4 d8e8 e3g5 f6e4 f1g2 h7h6 g5f4 d7d6 c3e4 f5e4 f3d2 e8f7 d4d5 g7b2 a1b1 e4e3 f4e3 b2g7 d1c1 b8a6 d2f3 g8h7 h4h5 g6g5 e3g5 a6c5 g5e3 c8f5 e3c5 d6c5 b1b7 a8b8 b7b8 f8b8 e1g1 b8b2 e2e4 f5e4 c1e3 e4f3 e3f3 f7f3 g2f3 b2a2 f1e1 g7f6 g1g2 a5a4 e1e6 a2d2 e6a6 f6d4 g2h1 d4f2 g3g4 f2d4 a6a8 d2a2 a8e8 d4f6 e8f8 h7g7 f8a8 a4a3 a8a6 g7g8 a6a4 f6e5 a4a5 g8g7 a5a8 a2h2 h1g1 a3a2 f3g2 a2a1q a8a1 h2g2 g1g2 e5a1 g2f3 g7f6 f3e3 e7e6 d5e6 f6e7 e3f4 e7e6 f4e4 a1c3 e4e3 e6e5 e3d3 c3d4 g4g5 h6g5 h5h6 e5f4 h6h7 d4h8 d3d2 g5g4 d2e2 f4e4 e2e1 g4g3 e1f1 e4f3 f1e1 g3g2 e1d2 f3e4 d2d1 e4d3 d1e1 g2g1q,True,True,14,12,1.859375,0.59,0.43
1-0,58,Queen's Pawn Opening,white,12,12,d2d4 a7a6 e2e4 d7d6 c1e3 g8f6 b1c3 e7e5 f1e2 f8e7 g1f3 f6g4 e3c1 e8g8 a2a3 b8d7 e1g1 b7b5 d4d5 d7b6 a3a4 b5a4 f3d2 d8d7 d2c4 b6c4 e2c4 f7f5 f2f3 g4h6 c1h6 g7h6 c4e2 a8b8 a1a4 f5e4 f3f4 b8b2 d1c1 b2b8 a4e4 e5f4 e4f4 c8b7 c1d2 e7g5 f4f8 b8f8 f1f8 g8f8 d2d3 a6a5 c3b5 d7e7 g1f2 c7c6 d5c6 b7c6 e2f3 d6d5 b5d4 c6d7 d3c3 e7e5 c3c5 f8e8 f3h5 e8d8 c5a5 d8e7 a5c3 g5f6 c3b4 e7d8 b4f8 d8c7 d4f3 e5c3 f2g3 f6e5 g3h4 e5g7 f8g8 c3b4 h4g3 g7f8 h5g4 b4b8 g8d5 d7c6 d5d4 b8b4 g3h3 b4d6 d4e3 d6d5 e3e1 f8d6 e1h4 d6f8 h4f6 d5d6 f6f7 c7b6 f3d4 d6d5 f7f2 f8c5 c2c3 d5g5 f2b2 b6a5 d4c6 a5a4 g4d1,True,True,28,6,2.4,0.42,0.34
0-1,46,Sicilian Defense,black,12,12,e2e4 c7c5 b1c3 e7e6 g1e2 a7a6 d2d4 g8f6 e4e5 f6g8 c1f4 g8e7 c3e4 e7g6 f4g5 d8a5 c2c3 b8c6 g5d2 c5d4 c3d4 a5d5 f2f3 c6d4 d2c3 d4e2 e1e2 b7b5 d1d5 g6f4 e2d2 f4d5 c3a5 f7f6 e4d6 e8e7 f3f4 g7g5 a1c1 f8h6 f1d3 g5f4 d3e4 f4f3 d2d1 h6c1 d1c1 f6e5 e4d5 e6d5 a5b4 f3g2 h1g1 e7e6 a2a3 h8g8 c1b1 d5d4 h2h4 a6a5 g1g2 g8g2 d6e8 a5b4 h4h5 e6f5 b2b3 c8b7 e8d6 f5g4 a3a4 b7d5 a4b5 g2g1 b1b2 g1g2 b2b1 a8a2 h5h6 a2b2 b1a1 b2b3 b5b6 g2g1 a1a2 b3b1 d6c4 d4d3 b6b7 d5c4,False,False,4,6,1.5888888888888888,1.35,0.56
1-0,23,English Opening,white,12,12,c2c4 d7d6 d2d4 e7e5 d4d5 f7f5 g2g3 f8e7 b1c3 a7a5 g1h3 b8d7 c1e3 h7h6 d1c2 g7g5 c2f5 d7f8 f5e4 g5g4 h3g1 e7g5 e4d3 g5e3 d3e3 d8g5 e3d2 g8f6 h2h3 g5g7 a1c1 c8d7 h3g4 e5e4 f1g2 g7e7 d2e3 f8g6 c3e4 e8g8 e3h6 g6e5 e4g5 f6g4 h6h8,False,True,24,2,1.9111111111111112,-0.22,1.83
0-1,51,Larsen's Opening,black,12,12,b2b3 g8f6 c1b2 g7g6 e2e4 d7d6 g2g3 h7h5 b1c3 c8g4 f2f3 g4d7 d1e2 c7c5 f3f4 d7g4 e2g2 b8c6 c3d5 f8g7 f4f5 e7e6 d5e3 d6d5 f1b5 e8g8 b5c6 d5d4 e3g4 h5g4 c6b7 a8b8 e4e5 e6f5 b7a6 f8e8 g1e2 f6d7 e2f4 b8b6 a6e2 d7e5 e1g1 g6g5 f4d3 c5c4 d3e5 c4c3 d2c3 e8e5 e2c4 e5e4 a1d1 b6d6 c3d4 d8b6 f1f5 e4d4 b2d4 d6d4 d1f1 d4d2 f1f2 d2f2 g2a8 g8h7 f5f2 g7d4 a8e4 h7g7 g1g2 d4f2 e4d5 b6f6 c2c3 f2b6 g2h1 g7f8 d5a8 f8g7 a8e4 b6d8 a2a4 a7a5 e4d5 g7f8 d5c5 f8g7 c5d5 f6e7 h1g2 d8b6 b3b4 a5b4 c3b4 e7f6 b4b5 f6f2 g2h1 f2g1,True,True,6,10,1.63,0.39,0.66
1-0,79,King' s Pawn Opening,white,12,12,e2e4 d7d5 e4d5 d8d5 g1f3 g8f6 d2d4 b8c6 b1c3 d5a5 c1d2 a7a6 f1c4 a5h5 c4e2 h5f5 d2e3 g7g6 h2h3 f5a5 d1d2 c8f5 g2g4 f6e4 c3e4 f5e4 d2a5 c6a5 e1c1 a5c4 e3f4 b7b5 h1e1 e4d5 b2b3 c4d6 c1b2 e8c8 h3h4 h7h5 f3e5 f7f6 e5g6 h8h7 g4h5 c8d7 e1g1 d7c6 d1d3 c6b7 d3e3 d6f5 g6f8 d8f8 e3g3 f5d4 e2d1 d4e6 f4e3 f6f5 e3c1 a6a5 g1e1 e6d4 g3d3 c7c5 c2c3 d5e4 d3h3 d4c6 f2f3 e4d3 e1e3 d3f1 h3h1 f5f4 e3e4 f1g2 h1g1 g2h3 g1g5 f8d8 d1c2 d8h8 g5c5 b7b6 c5d5 e7e6 d5d6 b6c7 c1f4 e6e5 d6c6 c7c6 f4e5 h8f8 f3f4 f8e8 e4e3 h7d7 b2c1 h3g4 h5h6 g4h5 h6h7 d7e7 e3g3 e7d7 h7h8q d7d1 c2d1 e8h8 e5h8 h5d1 c1d1 c6d5 f4f5 d5c5 g3h3 b5b4 h3g3 c5b6 g3g1 b6b5 h8d4 b5c6 d4h8 a5a4 c3c4 c6c5 g1g2 a4b3 a2b3 c5d6 h4h5 d6c6 g2d2 c6c5 f5f6 c5b6 f6f7 b6a7 f7f8q a7a6 f8f6 a6b7 f6e7 b7c6 e7b4 c6c7 h8e5 c7c6 d2d6 c6c7 d6d5 c7c6 b4b5,True,True,20,12,2.1656050955414012,1.1,1.71
